X,Y,Z,R
7.943101799794294e-07,-1.3952365423264217,-3.4453185987582424,1.7
1.2921783509479579e-06,-0.4337583556667825,-4.457384102206137,1.7
6.521689743666013e-07,0.9403485915745688,-4.148231939838446,1.7
-7.595520186045365e-07,1.3735197004018147,-2.825047732173927,1.7
-1.0353766585397928e-06,0.42466409254989623,-1.7831986342270643,1.7
-2.963352850233558e-07,-0.9634840199949863,-2.1143395011729313,1.7
-2.225850444124069e-06,0.5925723335552244,-0.3597991560645034,1.7
-2.225777229698903e-06,-0.5925723443115636,0.3597991540732126,1.7
-1.1389950902973268e-06,-2.0033039457380153,-0.6834086944313043,1.8
-1.1390263633821858e-06,2.003303934985365,0.6834086925400001,1.8
-2.96285489325687e-07,0.9634840092426605,2.114339499181619,1.7
-1.035393235136644e-06,-0.4246641032728576,1.783198632235735,1.7
7.943776360818102e-07,1.3952365316368076,3.445318596766869,1.7
1.2921465681612073e-06,0.4337583448831277,4.457384100214834,1.7
6.521167847172141e-07,-0.940348602265292,4.148231937947075,1.7
-7.595675396267929e-07,-1.3735197112111805,2.8250477301826646,1.7
1.0386355997039883e-06,-2.459998361813141,-3.6874980252787246,1.2
2.0916663152585137e-06,-0.754557997187441,-5.501203452237143,1.2
1.0556060895454573e-06,1.6741963062718939,-4.956882165774485,1.2
-1.5619553441322534e-06,2.440353544993115,-2.589207451521059,1.2
1.0386175646327178e-06,2.4599983511036054,3.6874980233873647,1.2
2.091680583002317e-06,0.7545579864164883,5.501203450245823,1.2
1.0556082215783335e-06,-1.6741963170039418,4.956882163783143,1.2
-1.5619297178991421e-06,-2.440353555667107,2.5892074495296953,1.2
